Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
KK Flowers (Blz),2019-2019,3,3,1,20,17,10.00,33,60.6,0,0,1,3,0
Z Groenewald (NAM),2019-2019,10,4,1,20,13,6.66,35,57.14,0,0,0,0,0
DL Hemp (BMUDA),2008-2008,2,2,0,20,20,10.00,32,62.5,0,0,1,2,1
Kuldeep Yadav (INDIA),2017-2019,19,2,1,20,16,20.00,20,100.0,0,0,0,2,0
MJ North (AUS),2009-2009,1,1,0,20,20,20.00,21,95.23,0,0,0,1,0
N Pokana (PNG),2016-2019,19,7,5,20,8*,10.00,28,71.42,0,0,0,0,0
JRMVB Sanjaya (SL),2017-2017,8,5,2,20,6,6.66,18,111.11,0,0,0,3,0
JOP Scamans (Fin),2019-2019,2,2,1,20,12*,20.00,19,105.26,0,0,0,1,0
S Sreesanth (INDIA),2006-2008,10,3,2,20,19*,20.00,14,142.85,0,0,1,4,0
A Uniyal (Chile),2019-2019,3,3,1,20,16*,10.00,24,83.33,0,0,0,2,0
C Waiswa (UGA),2019-2019,4,2,1,20,14*,20.00,14,142.85,0,0,0,1,1
Aziz Mohammad (Belg),2019-2019,3,3,1,19,19,9.50,25,76.0,0,0,1,0,2
Bilal Ahmed (Serb),2019-2019,1,1,0,19,19,19.00,28,67.85,0,0,0,1,1
CJ Dala (SA),2018-2019,9,4,3,19,12*,19.00,28,67.85,0,0,0,1,0
Fahad Tariq (UAE),2016-2016,6,5,1,19,16,4.75,24,79.16,0,0,2,1,1
Ibrahim Hassan (Mald),2019-2019,11,7,2,19,12*,3.80,41,46.34,0,0,3,0,0
Imran Haider (ROM),2019-2019,2,2,0,19,15,9.50,26,73.07,0,0,0,2,1
Imran Tahir (SA/World),2013-2019,38,4,3,19,9*,19.00,18,105.55,0,0,0,1,1
Irfan Mir (Chile),2019-2019,4,3,2,19,18*,19.00,7,271.42,0,0,1,0,2
Jaspreet Singh (ITA),2019-2019,5,2,0,19,11,9.50,23,82.6,0,0,0,1,0
Junaid Sheikh (NOR),2019-2019,5,3,0,19,9,6.33,20,95.0,0,0,0,1,1
HGJM Kulatunga (SL),2008-2008,2,2,0,19,11,9.50,38,50.0,0,0,0,0,0
CJ McKay (AUS),2010-2013,6,4,2,19,7,9.50,22,86.36,0,0,1,1,1
Mohammad Ahsan (KUW),2019-2019,6,3,0,19,8,6.33,20,95.0,0,0,0,0,1
